id;CustomerName;CustomerAddress;State
2643;Myers Chocolates and Confectio;313 Grove Ave.;Pennsylvania
2644;Got It All Electronics Supply;1715 Chicago Ave.;Rhode Island
2645;Garfield Appliance Service;616 Cobblestone Cir.;South Dakota
2646;Lake Shore Beaches;671 Blackstone Ave.;New Jersey
2647;Bill's Dive Shop;220 Vine Ave.;Florida
2648;Myles Building Consultants;245 Oakridge Ave.;Idaho
2649;Hibbard Road Suppliers;59 Cordon Terr.;Kentucky
2650;Lidhal design Corp.;220 Vine Ave.;Utah
2651;Lambert & Locke Legal Services;1619 Judson Ave. Apt #34B;South Dakota
2652;Dependable Plumbing and Sewer;406 Trinity Ct.;Minnesota
2653;Froggy's Gourmet Catering;812 North Ave.;North Carolina
2654;Park District Of America;812 North Ave.;Rhode Island
2655;Rythmics Ltd.;574 Chicago Ave.;Alabama
2656;Parties Galore Golf Course;4467 Sheridan Rd.;Delaware
2657;Energy Source Diet Centers;788 Tennyson Ave.;Maryland
2658;Mac Computer Warehouse;201-C Frontage Rd.;California
2659;Acturial Enterprises Ltd.;1619 Judson Ave. Apt #34B;Vermont
2660;Cradle the Call;2148 Eastview Dr.;New Mexico
2661;Kapp Camera and Video;242 Ashland Ave.;Vermont
2662;Elm Place Business Supplies;1619 Judson Ave. Apt #34B;North Carolina
2663;Arthur M. Feildberg Galleries;10 Marquette Rd.;Utah
1466;Camp Stuff;1547 Knolwood Rd.;Oklahoma
2664;Lickmen Restoration;3148 cottonwood Ct.;South Carolina
2665;Acme Chemical Supply;581 Hill St. Apt. 234;Pennsylvania
2666;Facelift Kitchen and Bath;1752 Clinton Ave.;Alabama
2667;Masterlands Cleaning;2045 St. johns Ave.;Georgia
2668;Air India;14836 W. River Oaks Dr.;Rhode Island
2669;Transformation Enterprises;844 Spruce St.;Arkansas
2670;Froggy's Gourmet Catering;1875 Roger Williams Ave.;Connecticut
2671;Lake Shore Publishing;1009 marvel Way;Washington
2672;Flinn Mosquito and Pest Contro;1575 Oak Ave.  Apt. 2C;Utah
2673;Cotton Thumb Ltd.;367Bluebird Terr.;Virginia
2674;Hibbard Road Suppliers;1715 Chicago Ave.;New Jersey
2675;Parties Galore Golf Course;1619 Judson Ave. Apt #34B;Colorado
2676;Office Pro Supply Co.;367Bluebird Terr.;South Dakota
2678;Pivot Point College;2032 Northbrook Ct.;Tennessee
2679;Dean Grant Buick and Crysler;1912 Old Briar Lane #2;Michigan
2680;Morgan Construction Co;746 Judson Place;Montana
2681;BBQ Smith's Tex Mex;629 Kincaid Ave.;Oklahoma
2682;Keyth Contracting and Repair;115 Judson Rd.;Iowa
2683;Funnyface Amusement Games;1715 Chicago Ave.;Indiana
2684;Green Shoes Corp.;1799 Rosemary Way;California
2685;Venturi Discount Drugs;1715 Chicago Ave.;West Virginia
2686;Lake Shore Publishing;1795 Lake Cook Rd.;Wyoming
2687;Sigman and Freud Psychiatry;1185 County line Rd.;Arkansas
2688;Rythmics Ltd.;511 Hill;West Virginia
2689;Tub's Furniture Store;1658 Second St.;Florida
2690;Air Mexico;865 Old Tall Tree Lane;Florida
2691;Highland Lanes;310 Walker Ave.;West Virginia
2692;Highland Heights Gift Shop;10 Marquette Rd.;Massachusetts
2693;Office Pro Supply Co.;511 Maple Ave.  Apt. 1B;Maine
2694;Happ Aluminum Siding Co.;1126 Hillcrest Ave;Arkansas
2695;American Apartments;2112 Ravine Drive;Idaho
2696;Esmarda Chemical Manufacturers;456 Grossman Ln.;New Jersey
2697;Parkway Auto Body;12 Skokie Valley Rd.;Minnesota
2698;Nina's Snow Plowing;1547 Knolwood Rd.;Indiana
2699;Kapp Camera and Video;632 Florence Dr.;Illinois
2700;Caranisco Homes;807 Old Trail Rd.;New Hampshire
2701;John G. Hartling Ltd.;135 Lakewood place;Maine
2702;janice Mann Accounting Service;969 Saxony Drive;New Mexico
2703;Salt & Pepper Catering Service;632 Florence Dr.;Massachusetts
2704;Nel Video Productions;1750 Lily Court;Wyoming
2705;Maintence Services of Maine;788 Tennyson Ave.;Massachusetts
2706;janice Mann Accounting Service;1915 Lewis Ln.  Apt 13;Wyoming
2707;Mac Computer Warehouse;671 Blackstone Ave.;Missouri
2708;PGS Associates;241 Callan Rd.;Oklahoma
2709;Energy Source Diet Centers;1907 S. Prospect Ave.;Oklahoma
2710;Acme Chemical Supply;1233 Arbor Rd.;West Virginia
2711;Lutz Soft Cloth Car Wash;1915 Lewis Ln.  Apt 13;Alaska
2712;AAA Daniels Antiques;807 Old Trail Rd.;California
2713;Woodworks Co.;201-C Frontage Rd.;Rhode Island
2714;Truck-X Muffler Repair;1770 first St.;Maryland
2715;Gordon & Son Brockerage Ltd.;1234 Devonshire Court;North Carolina
2716;Air India;1444 Chantilly Ln.;Georgia
2717;Air India;120 high St.;Georgia
2718;Vanity Town;54 Lakeview Terrace;South Dakota
2719;Air Indonesia;1795 Lake Cook Rd.;Florida
2720;Cotton Thumb Ltd.;643 De Temple Rd.;California
2721;Bee Line Publishing;1912 Old Briar Lane #2;Montana
2722;Derbin Contracting Services;1660 Park Ave.;South Dakota
2723;Loyal Order of Buffalo;4522 N. Greenview Apt. 1B;North Dakota
2724;Deer Lake Inn;969 Saxony Drive;Maryland
2725;Highland Lanes;1714 Clifton Rd.;New Jersey
2726;Marcy Elaine Bakery;2024 St.Johns Ave.;New Jersey
2728;Johnson, Erico & Co CPA's;1535 Knollwood Drive;Louisiana
2729;Mac Computer Warehouse;175 beech St.;Vermont
2730;Office Pro Supply Co.;1619 Judson Ave. Apt #34B;North Carolina
2731;Pete's Auto Repair;1907 S. Prospect Ave.;Idaho
2732;Foy Aviation;4467 Sheridan Rd.;Idaho
2733;Garfield Appliance Service;2032 Northbrook Ct.;Missouri
2734;Masterlands Cleaning;857 Woodbine Rd;Maine
2735;Shaggy's Grooming Services;1957 Huntington Ave.;Utah
2736;Auto Interior Carpeting Compan;750 Homewood Ave.;Wisconsin
2737;Eva Galler Galleries Inc.;1535 Knollwood Drive;California
2738;Myles Building Consultants;4467 Sheridan Rd.;Florida
2739;Facelift Kitchen and Bath;35 Glenlake Dr.;California
2740;Dapper's Antiques;1752 Clinton Ave.;Colorado
2741;Ebert Music Center;241 Callan Rd.;West Virginia
2742;Moveit Motercycle Service;1155 Ridgewood Drive;North Carolina
2743;Hart Corporation;1912 Old Briar Lane #2;Virginia
2744;Mac Computer Warehouse;12 Broadview Lane;Indiana
2745;Portugal, Liddy, & Son Ltd.;1975 elmwood Circle;Oklahoma
2746;North Park Lighting Galleries;1065 Hillcrest Circle;Wyoming
2747;Bee Line Publishing;10 Marquette Rd.;Alabama
2748;Schnitzer Denist College;406 Trinity Ct.;Alaska
2749;Air Barbados;1077 Court Ave.;Nevada
2750;Highland Heights Gift Shop;1633 McGovern place;New York
2751;Parties Galore Golf Course;54 Lakeview Terrace;Louisiana
2752;Derbin Contracting Services;2045 St. johns Ave.;Florida
2753;Elle Hypnosis and Therapy Cent;231 Sheriden Rd.;New Jersey
2754;Lambert & Locke Legal Services;77 Blackhawk Rd;California
2755;Marcy Elaine Bakery;1547 Vine;Maine
2756;Mergenthaler Inc.;1858 Balsam Way;South Carolina
2757;Hilco Auto Body;425 Lake Ave.;Washington
57;Lee Stairworks and Carpentry,;2644 Princeton Ln.;South Dakota
2727;Trapezoid Studios;937 Judson Ave.;Maryland
2758;P K M Packaging Supply;600 Central Ave;Oklahoma
2759;Bill's Dive Shop;917 Fairview Ave.  Apt. 982;Idaho
2760;American Deli Workers Union;1550 Ridge Rd.;Georgia
2761;Bako Delicatessen;225 Jeffrys Place;New Hampshire
2762;North West Gas Co.;1859 Green Bay Rd.;Rhode Island
2763;Bill's Dive Shop;12 Craven Way;Wisconsin
2764;Highland Heights Gift Shop;785 Highland place;Ohio
2765;Nel Video Productions;839 Burton Ave;New Jersey
2766;Lake Shore Beaches;1920 Sunnyside Ave.;South Carolina
2767;Michael Montgomery Hair Saloon;4763 Blackhawk Rd.;Georgia
2768;PGS Associates;1185 County line Rd.;Virginia
2770;American Deli Workers Union;1337 Cavell Ave.;North Dakota
2771;Pac Builders;1450 Harding Ave.;South Carolina
2772;Peterson Roberts Carpentry;662 Lyons Circle;Georgia
2773;Air India;225 Jeffrys Place;Maine
2774;Highland Woods City Hall;1550 Ridge Rd.;North Dakota
2775;Lake Shore Publishing;1185 County line Rd.;Delaware
2776;PGS Associates;600 Central Ave;North Carolina
2777;Smith & Wesson Militia;673 Calais Drive;Maryland
2778;Gordon & Son Brockerage Ltd.;746 Judson Place;New Hampshire
2779;Pac Builders;511 Maple Ave.  Apt. 1B;Indiana
2780;Percy Photography;2024 St.Johns Ave.;Maine
2781;Pasifico Inc.;12 Walker Ave.;Mississippi
2782;Rythmics Ltd.;643 De Temple Rd.;Maryland
2783;Caranisco Homes;2870 Skokie Rd.;Michigan
2784;Schmidt Denists;12 Walker Ave.;Ohio
2785;Elle Hypnosis and Therapy Cent;12 Craven Way;Alaska
2786;Highland Woods City Hall;456 Grossman Ln.;Florida
2787;Nitelites Party Rental;1875 Roger Williams Ave.;Michigan
2788;Doerner's Awnings and Canopies;313 Grove Ave.;Louisiana
2789;Air Guatamala;1450 Harding Ave.;Tennessee
2790;Ampro Office Team Ltd.;1270 Linden Ave.;Tennessee
2791;Woodworks Co.;654 Walnut Rd.;Washington
2792;Transformation Enterprises;1234 Devonshire Court;Nebraska
2793;Bill's Dive Shop;854 Woodbine;South Dakota
2794;Glassman & Stone;120 high St.;Maine
2795;Salt & Pepper Catering Service;1444 Chantilly Ln.;Alabama
2796;Dean Barnett Furniture Repair;242 Ashland Ave.;Minnesota
2797;Energy Source Diet Centers;1777 balsamic Ave.;Minnesota
2798;Yale Remins Temp Agency;433 Burton Ave.;Idaho
2799;Got It All Electronics Supply;334 Lynn Terrace;Alabama
2800;Nitelites Party Rental;2644 Princeton Ln.;New Mexico
2801;Highland Heights Gift Shop;1875 Roger Williams Ave.;Massachusetts
2802;Woodworks Co.;1220 Heather Lane;Oregon
2803;DBN Bank;3100 Trailer Way;Texas
2804;Maintence Services of Maine;512 Hill;Montana
2805;Bee Line Publishing;1065 Hillcrest Circle;Wyoming
2806;Schnitzer Denist College;302-A Crestwood Village Rd.;Florida
2807;Nina's Snow Plowing;3344 Beachwood Ln.;West Virginia
2808;Parkway Auto Body;242 Ashland Ave.;Iowa
2809;Green Bay Travel Services;1444 Chantilly Ln.;New Hampshire
2810;Chands CPA;3059 Priscilla Court;Colorado
2811;Tub's Furniture Store;1486 Oakwood;Wisconsin
2812;Highland Woods City Hall;1875 Roger Williams Ave.;Georgia
2813;Doll House Rock;1220 Heather Lane;Massachusetts
2814;Percy Photography;2644 Princeton Ln.;Maine
2815;Woodworks Co.;770 Exmoor Rd.;Utah
2816;Peterson Roberts Carpentry;43078 Kennedy Dr.;Tennessee
2817;Flinn Mosquito and Pest Contro;1220 Heather Lane;Tennessee
2818;Bill's Dive Shop;355 Golf Rd.;West Virginia
2819;Morton Roofing and Siding;1486 Oakwood;Ohio
2820;Green Bay Travel Services;1860 Parkside Ln.;Connecticut
2821;Smith & Wesson Militia;3059 Priscilla Court;Missouri
2822;Air Indonesia;1920 Sunnyside Ave.;Utah
2823;Libra & Sons;917 Fairview Ave.  Apt. 982;Idaho
2824;Brand Y Creative Services;54 Lakeview Terrace;Georgia
2825;Moveit Motercycle Service;1234 Devonshire Court;Wisconsin
2826;Ebert Music Center;225 Jeffrys Place;Rhode Island
2827;Schmidt Denists;2267 Anderson Lane;Maine
2828;Brand Y Creative Services;3160 Summit Ave.;Florida
2829;Bako Delicatessen;218 Oakridge Ave.;Hawaii
2830;Facelift Kitchen and Bath;1535 Knollwood Drive;Wisconsin
2831;Truck-X Muffler Repair;1619 Judson Ave. Apt #34B;Florida
2832;Auto Interior Carpeting Compan;788 Tennyson Ave.;Arkansas
2833;Moveit Motercycle Service;115 Pleasent Ave.;Indiana
2834;Glenn Oaks Office Supplies;726 White Oaks Ave.;Wisconsin
2835;janice Mann Accounting Service;929 Brittany Ave.;Kentucky
2836;New Dehli Auto Exchange;2032 Northbrook Ct.;Florida
2837;Gordon & Son Brockerage Ltd.;3160 Summit Ave.;Idaho
2838;Crosstracks Car Wash;4467 Sheridan Rd.;North Dakota
2839;Pete's Auto Repair;970 Vilas Circle;Pennsylvania
2840;Hibop Heating and Air Conditio;430 Oakland Drive;Georgia
2841;Schmidt Denists;35 Glenlake Dr.;Ohio
2842;Terrinni & Son Auto and Truck;54 Lakeview Terrace;Alabama
2843;Smith Communications Inc.;1750 Lily Court;Kansas
2844;Mac Computer Warehouse;1715 Chicago Ave.;Wisconsin
2845;Got It All Electronics Supply;465 Stratford Rd.;New Jersey
2846;Happ Aluminum Siding Co.;643 De Temple Rd.;Utah
2847;Green Bay Travel Services;4763 Blackhawk Rd.;Minnesota
2848;Green Bay Travel Services;3160 Summit Ave.;Virginia
2849;Hi-Land Art & Frame;937 Judson Ave.;Vermont
2850;Air Guatamala;54 Lakeview Terrace;Arkansas
58;Lambert & Locke Legal Services;662 Lyons Circle;Vermont
2851;Morton Roofing and Siding;673 Calais Drive;Maine
2852;Crosstracks Car Wash;22 Clay rd.;Ohio
2853;Air India;643 De Temple Rd.;Arizona
2854;North Shore Appliance Service;750 Homewood Ave.;Ohio
2855;Nel Video Productions;139 Bay Colony Dr.;Iowa
2856;Arthur M. Feildberg Galleries;1547 Vine;Maine
2857;Shaggy's Grooming Services;671 Blackstone Ave.;California
2858;Mergenthaler Inc.;115 Judson Rd.;Minnesota
2859;Woodworks Co.;1486 Old Deerfield Rd.;North Carolina
2860;Keep Cool Air Conditioner Repa;1287 Glencoe Ave.;West Virginia
2861;janice Mann Accounting Service;917 Fairview Ave.  Apt. 982;Rhode Island
2862;Air Indonesia;581 Hill St. Apt. 234;Oklahoma
2863;Energy Source Diet Centers;839 Burton Ave;Montana
2864;Dean Grant Buick and Crysler;425 Lake Ave.;Alabama
2865;Vecot Inc.;430 Oakland Drive;Indiana
2866;Block Boats and Lures;1 Twin Oaks Place;North Carolina
2867;North West Gas Co.;201-C Frontage Rd.;Nebraska
2868;Morton Roofing and Siding;5518 Madison St.;Delaware
2869;Venturi Discount Drugs;2112 Ravine Drive;New Mexico
2870;Glenwood Credit Union;218 Oakridge Ave.;Virginia
2871;Pete's Auto Repair;632 Florence Dr.;Pennsylvania
2872;Smith Communications Inc.;1715 Chicago Ave.;Maryland
2873;Nyman Interior Design;1831 Beverly Place #9D;Virginia
2874;Marcy Elaine Bakery;3062 Lindenwood Ln.;Nevada
2875;Chands CPA;1450 Harding Ave.;Missouri
2876;Resnick DDS;511 Hill;Utah
2877;Camp Oconomowoc;218 Oakridge Ave.;New York
2878;Camp Oconomowoc;1882 St. Johns;Mississippi
2879;New Dehli Auto Exchange;1882 St. Johns;Oklahoma
2880;Air India;2045 St. johns Ave.;Missouri
2881;Happ Aluminum Siding Co.;3385 University Ave.;Mississippi
2882;Masterlands Cleaning;1715 Chicago Ave.;Nebraska
2883;Block Boats and Lures;1715 Chicago Ave.;Connecticut
2884;Air India;1126 Hillcrest Ave;Wisconsin
2885;P K M Packaging Supply;3181 Barkwood Ct.;Illinois
2886;Keep Cool Air Conditioner Repa;22 Clay rd.;Oklahoma
2887;Salt & Pepper Catering Service;313 Grove Ave.;California
2889;Jay's Cabinet Company;632 Roger Williams;Michigan
2890;Hilco Auto Body;2148 Eastview Dr.;Washington
2891;Michael Montgomery Hair Saloon;4259 W. Lake Ave.;Iowa
2892;Morgan Construction Co;616 Cobblestone Cir.;Oregon
2893;DBN Bank;785 Highland place;South Dakota
2894;Ernie's Foriegn Car Service;4467 Sheridan Rd.;Colorado
2895;Lee Stairworks and Carpentry,;231 Sheriden Rd.;Idaho
2896;Got It All Electronics Supply;1658 Second St.;South Dakota
2897;Peterson Roberts Carpentry;12 Skokie Valley Rd.;Vermont
2898;Arthur M. Feildberg Galleries;430 Oakland Drive;Indiana
2899;MedicServe Medical Supply;1658 Second St.;Oregon
2900;Keep Cool Air Conditioner Repa;456 Grossman Ln.;Vermont
2901;Morgan Construction Co;313 Grove Ave.;Nevada
2902;Nina's Snow Plowing;600 Central Ave.;West Virginia
2903;Kosmo Consulting;1975 elmwood Circle;Virginia
2905;Peterson Roberts Carpentry;1831 Beverly Place #9D;Montana
2906;Shaggy's Grooming Services;600 Central Ave;North Dakota
2907;Hilco Auto Body;231 Sheriden Rd.;Kentucky
2908;Gilbert Co.;12 Fort Sheriden Ave.;South Dakota
2909;Ernie's Foriegn Car Service;425 Lake Ave.;Louisiana
2910;Deer Lake Inn;1101 Deerfield Place;Missouri
2911;Glenwood Credit Union;574 Chicago Ave.;Wisconsin
2912;Parties Galore Golf Course;1882 St. Johns;Louisiana
2913;Kosmo Consulting;433 Burton Ave.;West Virginia
2914;Mergenthaler Inc.;4522 N. Greenview Apt. 1B;Mississippi
2915;Park District Of America;367Bluebird Terr.;New Hampshire
2916;Trapezoid Studios;220 Vine Ave.;Indiana
2917;Lickmen Restoration;367Bluebird Terr.;Maine
2918;Palmer Golf Supplies;643 De Temple Rd.;Rhode Island
2919;Parkway Auto Body;854 Woodbine;Kansas
2920;Got It All Electronics Supply;2479 Woodridge Drive;Pennsylvania
2921;Nina's Snow Plowing;628 Orwenstensia;Connecticut
2922;Pasifico Inc.;224  Highwood Ave.;Iowa
2923;Esmarda Chemical Manufacturers;1155 Ridgewood Drive;Maine
2924;Doll House Rock;139 Bay Colony Dr.;Nebraska
2925;Camp Oconomowoc;788 Tennyson Ave.;Missouri
2926;Lutz Soft Cloth Car Wash;1957 Huntington Ave.;Virginia
2927;Chicagoland Cleaners;12 Craven Way;Virginia
2928;Gourmet the Frog;505 N. Frances St.;Connecticut
2929;Transformation Enterprises;632 Roger Williams;Montana
2930;BBQ Smith's Tex Mex;746 Judson Place;Ohio
2931;Shaggy's Grooming Services;225 Jeffrys Place;South Carolina
2932;P K M Packaging Supply;2112 Ravine Drive;North Dakota
2933;Crossroads Construction, Inc.;1185 County line Rd.;Massachusetts
2934;Parkway Auto Body;201-C Frontage Rd.;Nebraska
2935;Marcy Elaine Bakery;3181 Barkwood Ct.;Connecticut
2936;First National Bank of Ottowa;355 Golf Rd.;Alabama
2937;Mergenthaler Inc.;673 Calais Drive;Montana
2938;Funnyface Amusement Games;245 Oakridge Ave.;South Carolina
2939;Nyman Interior Design;2148 Eastview Dr.;Tennessee
2941;Tub's Furniture Store;1770 first St.;Montana
2942;Air Indonesia;1486 Oakwood;Alabama
2943;Perimeter Security Consultants;2032 Northbrook Ct.;Kansas
2944;Cutter Lawn Mower Repair;3160 Summit Ave.;Nebraska
2945;Childress Child Day Care;3062 Lindenwood Ln.;Kentucky
2946;Lake Shore Publishing;242 Ashland Ave.;West Virginia
2947;Portugal, Liddy, & Son Ltd.;1882 St. Johns;California
2940;Chands CPA;1750 Lily Court;Arkansas
2948;Schmidt Denists;135 Lakewood place;Nebraska
2949;janice Mann Accounting Service;1535 Knollwood Drive;New Hampshire
2950;Camp Oconomowoc;1486 Old Deerfield Rd.;Delaware
2951;K L Consulting;1714 Clifton Rd.;California
2952;Truck-X Muffler Repair;3100 Trailer Way;Virginia
2953;Chands CPA;616 Cobblestone Cir.;Arizona
2954;Michael Montgomery Hair Saloon;12 Broadview Lane;California
2955;Green Bay Travel Services;2267 Anderson Lane;Nebraska
2956;Loyal Order of Buffalo;2505 Allison ct.;California
2957;Highland Woods City Hall;1155 Ridgewood Drive;South Dakota
2958;DBN Bank;629 Kincaid Ave.;Vermont
2959;MedicServe Medical Supply;14836 W. River Oaks Dr.;Ohio
2960;janice Mann Accounting Service;244 Briar Ln;Hawaii
2961;Marks, Marks, and Kaplan Ltd.;120 high St.;Wyoming
2962;Glassman & Stone;917 Fairview Ave.  Apt. 982;Connecticut
2963;Cutter Lawn Mower Repair;21 Lakeview Terrace #2312;North Dakota
2964;Griffith Paving and Sealcoatin;1575 Oak Ave.  Apt. 2C;Utah
2965;John G. Hartling Ltd.;1957 Huntington Ave.;Vermont
2966;Hilco Auto Body;511 Hill;South Dakota
2967;Tub's Furniture Store;1715 Chicago Ave.;Connecticut
2968;Ernie's Foriegn Car Service;1486 Old Deerfield Rd.;Michigan
2969;Flinn Mosquito and Pest Contro;3478 Bryn Mawr St.;Pennsylvania
2970;Chicagoland Cleaners;2936 Arlington Ave.;Virginia
2971;Hilco Auto Body;3148 cottonwood Ct.;Massachusetts
2972;Ampro Office Team Ltd.;1234 Devonshire Court;Nebraska
2973;Hilco Auto Body;3181 Barkwood Ct.;Tennessee
2974;Highland Heights Gift Shop;12 Fort Sheriden Ave.;South Dakota
2975;Mail Boxes Et. Al.;35 Glenlake Dr.;Texas
2976;Yale Remins Temp Agency;1859 Green Bay Rd.;North Dakota
2977;Myers Chocolates and Confectio;21 Lakeview Terrace #2312;Mississippi
2978;Hardee Woodwork Ltd.;788 Tennyson Ave.;Texas
2979;Sigman and Freud Psychiatry;2505 Allison ct.;Alabama
2980;George Lee Antiques;115 Judson Rd.;Vermont
2981;K L Consulting;3478 Bryn Mawr St.;Delaware
2982;Camp Oconomowoc;1954 First St.;North Carolina
2983;Truck-X Muffler Repair;2632 Prarie Ln.;Missouri
2984;Dean Grant Buick and Crysler;4522 N. Greenview Apt. 1B;Tennessee
2985;Froggy's Gourmet Catering;1575 Oak Ave.  Apt. 2C;Vermont
2986;Bill's Dive Shop;3385 University Ave.;Missouri
2987;Deer Lake Inn;969 Saxony Drive;Georgia
2988;Air France;10 Marquette Rd.;Texas
2989;Pasifico Inc.;430 Oakland Drive;Texas
2990;Maintence Services of Maine;220 Vine Ave.;Louisiana
2991;Mail Boxes Et. Al.;2024 St.Johns Ave.;Indiana
2992;Dapper's Antiques;1547 Vine;Iowa
2994;Pac Builders;135 Lakewood place;Iowa
2995;Marks, Marks, and Kaplan Ltd.;1831 Beverly Place #9D;West Virginia
2996;Dean Grant Buick and Crysler;367Bluebird Terr.;Oregon
2997;Dependable Plumbing and Sewer;1831 Beverly Place #9D;Arizona
2998;DBN Bank;225 Jeffrys Place;West Virginia
2999;AAA Daniels Antiques;2479 Woodridge Drive;North Carolina
3000;Crosstracks Car Wash;1839 McCraren Rd.;Wyoming
3001;Moveit Motercycle Service;4259 W. Lake Ave.;North Dakota
3002;Dean Barnett Furniture Repair;1486 Old Deerfield Rd.;Louisiana
3003;Bernhardt Ltd.;1550 Ridge Rd.;Wisconsin
3004;North Shore Appliance Service;115 Judson Rd.;Vermont
3005;Lake Shore Publishing;937 Judson Ave.;West Virginia
3006;Foy Aviation;218 Oakridge Ave.;Mississippi
3007;Vecot Inc.;218 Oakridge Ave.;North Dakota
3008;Smith & Wesson Militia;425 Lake Ave.;Utah
3009;Highland Woods City Hall;465 Stratford Rd.;Vermont
3010;Car Suite Cleaners;12 Craven Way;California
3011;Hardee Woodwork Ltd.;1957 Huntington Ave.;Georgia
3012;Tub's Furniture Store;673 Calais Drive;Colorado
3013;Pivot Point College;2870 Skokie Rd.;Delaware
3014;Dapper's Antiques;929 Brittany Ave.;Kansas
3015;Eva Galler Galleries Inc.;1777 balsamic Ave.;Utah
3016;Lidhal design Corp.;225 Jeffrys Place;North Dakota
3017;Bako Delicatessen;854 Woodbine;Washington
3018;Park District Of America;42 Valley Rd.;Kentucky
3019;American Apartments;1535 Knollwood Drive;Wyoming
3020;Caranisco Homes;218 Oakridge Ave.;South Carolina
3021;Pete's Auto Repair;3487 Green Bay Rd.;Wisconsin
3022;Eva Galler Galleries Inc.;1444 Chantilly Ln.;Massachusetts
3023;Chicagoland Cleaners;1547 Vine;Oklahoma
3024;Darcy Frame and Matting Servic;2870 Skokie Rd.;Vermont
3025;MedicServe Medical Supply;788 Tennyson Ave.;Arkansas
3026;Parties Galore Golf Course;669 Kikaid;Oregon
3027;Johnson, Erico & Co CPA's;241 Callan Rd.;Louisiana
3028;Nel Video Productions;1831 Beverly Place #9D;Rhode Island
3029;Peterson Roberts Carpentry;77 Blackhawk Rd;Maryland
3030;Ebert Music Center;1234 Devonshire Court;South Carolina
3032;Funnyface Amusement Games;445 Park Ave.;New Mexico
3033;Doll House Rock;632 Florence Dr.;Pennsylvania
3034;Bill's Dive Shop;643 De Temple Rd.;Mississippi
3035;Facelift Kitchen and Bath;218 Oakridge Ave.;Idaho
3036;Loyal Order of Buffalo;5518 Madison St.;Oregon
3037;Pete's Auto Repair;3150 Skokie Valley Rd.;Idaho
3038;Libra & Sons;21 Lakeview Terrace #2312;Tennessee
3039;Bee Line Publishing;1619 Judson Ave. Apt #34B;Ohio
3040;North Park Lighting Galleries;1233 Arbor Rd.;Illinois
3041;Lutz Soft Cloth Car Wash;266 Green Bay Rd.;Tennessee
3042;Glenwood Credit Union;43078 Kennedy Dr.;South Dakota
3043;Glassman & Stone;807 Old Trail Rd.;South Dakota
3044;Foy Aviation;746 Judson Place;Mississippi
3045;Meonits & Mogogni Inc.;45 South Deer Creek Drive;Missouri
3046;Kosmo Consulting;5518 Madison St.;Utah
3047;Pasifico Inc.;3059 Priscilla Court;Oregon
3048;Happ Aluminum Siding Co.;1 Twin Oaks Place;South Carolina
3049;Truck-X Muffler Repair;746 Judson Place;Kentucky
3050;Futoons Cartoons Emporium;1915 Lewis Ln.  Apt 13;Iowa
3051;Mail Boxes Et. Al.;1233 Arbor Rd.;Oklahoma
3052;Gourmet the Frog;899 Harvard Ct;Colorado
3053;Dean Barnett Furniture Repair;1660 Park Ave.;Delaware
3054;Vanity Town;1619 Judson Ave. Apt #34B;Maine
3055;Highland Lanes;1954 First St.;Mississippi
3056;Hilco Auto Body;505 N. Frances St.;Arkansas
3057;Hardee Woodwork Ltd.;1957 Huntington Ave.;Nebraska
3058;Froggy's Gourmet Catering;770 Exmoor Rd.;New York
3059;Jay's Cabinet Company;1831 Beverly Place #9D;Utah
3060;Hibbard Road Suppliers;77 Blackhawk Rd;Maine
3061;Salt & Pepper Catering Service;245 Oakridge Ave.;Iowa
3062;Hilco Auto Body;857 Woodbine Rd;Delaware
3063;Hibbard Road Suppliers;2024 St.Johns Ave.;Utah
3064;Hilco Auto Body;406 Trinity Ct.;Minnesota
3065;Glenwood Credit Union;3344 Beachwood Ln.;Utah
3066;Corbins, Rodriguez, & Savocchi;600 Central Ave;Pennsylvania
3067;Lake Shore Publishing;785 Highland place;Maine
3068;Flinn Mosquito and Pest Contro;22 Clay rd.;Arkansas
3069;Parties Galore Golf Course;857 Woodbine Rd;Indiana
3070;First National Bank of Ottowa;266 Green Bay Rd.;Oregon
3071;Air Indonesia;632 Roger Williams;Mississippi
3072;janice Mann Accounting Service;1619 Judson Ave. Apt #34B;Michigan
3073;Myers Chocolates and Confectio;4467 Sheridan Rd.;New Hampshire
3074;Block Boats and Lures;77 Blackhawk Rd;Georgia
3075;Salt & Pepper Catering Service;1859 Green Bay Rd.;South Dakota
3076;Sigman and Freud Psychiatry;3100 Trailer Way;Arkansas
3077;Nina's Snow Plowing;629 Kincaid Ave.;West Virginia
3078;Futoons Cartoons Emporium;629 Kincaid Ave.;Kentucky
3079;Highland Lanes;600 Central Ave;Hawaii
3080;Salt & Pepper Catering Service;1799 Rosemary Way;New Mexico
3081;Got It All Electronics Supply;1858 Balsam Way;Tennessee
3082;Portugal, Liddy, & Son Ltd.;3062 Lindenwood Ln.;Alaska
3083;Morton Roofing and Siding;632 Florence Dr.;Rhode Island
3084;Nina's Snow Plowing;2112 Ravine Drive;Arkansas
3085;Yale Remins Temp Agency;1714 Clifton Rd.;Utah
3086;Doll House Rock;4522 N. Greenview Apt. 1B;Delaware
3087;Loyal Order of Buffalo;433 Burton Ave.;Delaware
3088;Transformation Enterprises;465 Stratford Rd.;North Carolina
3089;Lee Stairworks and Carpentry,;35 Glenlake Dr.;Maryland
